Material,Description,Thai Desc.,Pack Size,Product Group,Shelflife (Months),Bar Code EA,Bar Code DSP,Bar Code CS
80103,TEAPOT EXTRA HALF CREAMER TH FS,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 385ก.x48,48X385 g,EVAP,9,8858705601679,-,48858705601684
1112581,TEAPOT EXTRA POUCH ,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 1กก.x20,20X1 Kg,EVAP,9,8858705609392,-,18858705609405
1113018,TEAPOT EVAP MILK PRODUCT,ผลิตภัณฑ์นมปรุงอาหารเบเกอรีทีพอท 48x385G,48X385 g,EVAP,9,8858705613061,-,18858705613075
1113023,TEAPOT EXTRA EVAP CREAMER ,ครีมเทียมพร่องไขมัน ทีพอทเอ็กซ์ตร้า 12x1L,12x1000 ml,EVAP,9,8858705613023,-,18858705613037
1112577,TEAPOT SWEETENED CONDENSED MILK PRODUCT (FRESH MILK FORMULA) PACK 8,นมข้นหวาน ตราทีพอท 180 ก. x 8 x 6,6x(8X180g),SCM,9,8858705607572,8858705609286,18858705609290
1112578,TEAPOT SWEETENED CONDENSED MILK PRODUCT (CHOCOLATE FLAVORED) PACK 8,นมข้นหวาน ตราทีพอท ช็อกโกแลต 180 ก. x 8 x 6,6x(8X180g),SCM,9,8858705607541,8858705609309,18858705609313
1112996,TEAPOT SCM TUBE LOW FAT LESS SUGAR,นมข้นหวานทีพอทไขมันต่ำ ลดน้ำตาล 6x8x170g,(6x8x170g),SCM,9,8858705612682,8858705612699,18858705612702
1151045,MAGNOLIA GINKGO CHOC UHT ,นมแมกโนเลีย กิงโกะ ช็อกโกแลต 12x(4X180มล),12x(4X180 ml),Magnolia UHT,9,8858705604588,8858705604595,18858705604608
1151046,MAGNOLIA GINKGO WHITE MALT UHT,นมแมกโนเลีย กิงโกะ ไวท์มอลต์ 12x(4X180มล),12x(4X180 ml),Magnolia UHT,9,8858705604618,8858705604625,18858705604639
1151236,MAGNOLIA UHT PLAIN,นมแมกโนเลีย ยูเอชที รสจืด 12x(4x180มล.),12x(4X180 ml),Magnolia UHT,9,8858705612163,8858705612170,18858705612184
1151238,MAGNOLIA UHT CHOCOLATE,นมแมกโนเลีย ยูเอชที รสช็อกโกแลต 12x(4x18),12x(4X180 ml),Magnolia UHT,9,8858705612224,8858705612231,18858705612245
1151286,Magnolia UHT Plain 12x(4x180ml)10B.,นมแมกโนเลียยูเอชทีจืด 12x(4x180มล)10บ.,12(4x180 Ml.),Magnolia UHT,9,8858705615089,8858705615096,18858705615109
1151287,Magnolia UHT Choc 12x(4x180ml) 10B.,นมแมกโนเลีย ยูเอชที รสช็อก 12x(4x180ml)10บ.,12(4x180 Ml.),Magnolia UHT,9,8858705615119,8858705615126,18858705615130
1151292,Nutriwell UHT Oat and Quinoa 12x(4x180ml),นิวทริเวลยูเอชทีโอ๊ตควินัว 12x(4x180มล.),12x(4x180ml),NUTRISOY,9,8858705615454,8858705615461,18858705615475
1151293,Nutriwell UHT Omega Flax 12x(4x180ml),นิวทริเวลยูเอชทีโอเมกแฟล็กซ์ 180มล(4x12),12x(4x180ml),NUTRISOY,9,8858705615485,8858705615492,18858705615505
1201514,HAYOCO COOL COLA 70GX12X4 TH,ฮาโยโก้ กัมมี่ คูลโคล่า 70g x 12 x 4,70GX12X4,Gummy,18,9556296 331270,9556296 331317,09556296 331607
1201578,HAYOCO BERRY BEAR 70G X 12 X 4  TH,ฮาโยโก้ กัมมี่ เบอร์รี่ แบร์ 70g x 12 x 4,70GX12X4,Gummy,18,9556296 331263,9556296 331553,09556296 331584
1201617,HAYOCO BERRY BEAR 15G X 12 X 12 TH,ฮาโยโก้ กัมมี่ เบอร์รี่ แบร์ 15g x 12 x 12,15G X 12 X 12,Gummy,18,9556296 331256,9556296 331294,09556296 331591
1201618,HAYOCO COOL COLA 15G X 12 X 12  TH,ฮาโยโก้ กัมมี่ คูลโคล่า 15g x 12 x 12,15G X 12 X 12,Gummy,18,9556296 331249,9556296 331560,09556296 331577
1201619,HAYOCO FRUITY BEAR 15G X 12 X 12 TH,CERAVE,15G X 12 X 12,Gummy,18,9556296 331232,9556296 331310,09556296 3337875597395
